,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
0,City of Ashes,Cassandra Clare,789895,30434,4.15,453,2008,True,6.25,2.12,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Fantasy Supernatural', 'Paranormal Angels', 'Fantasy Magic']",2
1,"Hush, Hush",Becca Fitzpatrick,604813,25700,3.95,391,2009,True,4.38,0.24,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
2,City of Glass,Cassandra Clare,834498,29070,4.3,541,2009,True,7.66,3.52,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",3
3,Clockwork Angel,Cassandra Clare,709686,33612,4.31,479,2010,True,7.75,3.62,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels']",10
4,Marked,P.C. Cast,448045,14504,3.8,306,2007,True,2.97,-1.16,"['Young Adult', 'Fantasy', 'Paranormal Vampires', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Young Adult Teen']",1
5,Graceling,Kristin Cashore,405363,23004,4.07,471,2008,True,5.5,1.37,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult Young Adult Fantasy', 'Fantasy Magic', 'Fantasy High Fantasy', 'Young Adult Teen', 'Fantasy Paranormal']",18
6,Shiver,Maggie Stiefvater,448133,23237,3.76,392,2009,True,2.59,-1.54,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Young Adult Teen']",12
7,Frostbite,Richelle Mead,324012,11587,4.26,327,2008,True,7.28,3.15,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",0
8,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,180506,7607,3.82,284,2006,True,3.16,-0.98,"['Young Adult', 'Romance', 'Mystery', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Womens Fiction Chick Lit', 'Adventure', 'Young Adult Teen', 'Realistic Fiction']",2
9,Matched,Ally Condie,681069,33511,3.65,369,2010,True,1.56,-2.57,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Young Adult Teen', 'Audiobook', 'Futuristic', 'Apocalyptic Post Apocalyptic']",11
10,The Last Olympian,Rick Riordan,717770,25247,4.5,381,2009,True,9.53,5.4,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",4
11,The Angel Experiment,James Patterson,211692,9431,4.07,445,2006,True,5.5,1.37,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Young Adult Teen', 'Action', 'Mystery', 'Fantasy Urban Fantasy']",2
12,Cinder,Marissa Meyer,730212,56877,4.13,400,2012,True,6.06,1.93,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Science Fiction Dystopia', 'Retellings', 'Fiction', 'Fantasy Fairy Tales', 'Audiobook', 'Young Adult Young Adult Fantasy']",12
13,The Titan's Curse,Rick Riordan,739388,22821,4.34,320,2007,True,8.03,3.9,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1
14,Shadow Kiss,Richelle Mead,338750,11508,4.33,443,2008,True,7.94,3.81,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1
15,The Battle of the Labyrinth,Rick Riordan,791118,20892,4.39,361,2008,True,8.5,4.37,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
16,Blood Promise,Richelle Mead,289248,9958,4.3,503,2009,True,7.66,3.52,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",2
17,The Lost Hero,Rick Riordan,665681,23132,4.32,553,2010,True,7.84,3.71,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",3
18,The Selection,Kiera Cass,991418,53192,4.12,336,2012,True,5.97,1.84,"['Young Adult', 'Romance', 'Science Fiction Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Young Adult Teen', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Fantasy']",2
19,Pretties,Scott Westerfeld,239796,10407,3.84,370,2005,True,3.34,-0.79,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",0
20,Eldest,Christopher Paolini,376215,9883,3.99,704,2007,True,4.75,0.62,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",4
21,Legend,Marie Lu,435252,29892,4.16,305,2011,True,6.34,2.21,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Adventure', 'Young Adult Teen', 'Audiobook', 'Action']",10
22,Evermore,Alyson Noel,273208,9854,3.59,301,2009,True,1.0,-3.13,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fantasy Magic']",2
23,The Summoning,Kelley Armstrong,163257,6315,4.0,390,2008,True,4.84,0.71,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fantasy Magic', 'Romance', 'Paranormal Ghosts', 'Shapeshifters Werewolves', 'Fiction']",1
24,Gone,Michael  Grant,185273,10986,3.86,560,2008,True,3.53,-0.6,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Fantasy Paranormal', 'Romance', 'Adventure', 'Fantasy Supernatural', 'Young Adult Teen']",1
25,Spirit Bound,Richelle Mead,270258,9050,4.33,489,2010,True,7.94,3.81,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",3
26,A Great and Terrible Beauty,Libba Bray,218210,9972,3.78,403,2003,True,2.78,-1.35,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Fiction', 'Historical', 'Fantasy Paranormal', 'Romance', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",2
27,The Iron King,Julie Kagawa,202542,12119,3.89,363,2010,True,3.81,-0.32,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fiction', 'Young Adult Young Adult Fantasy']",2
28,Last Sacrifice,Richelle Mead,264840,11399,4.37,594,2010,True,8.31,4.18,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1
29,The Night Circus,Erin Morgenstern,733079,77427,4.03,391,2011,False,5.13,0.99,"['Fantasy', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Fantasy Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']",11
30,Betrayed,P.C. Cast,248895,5571,3.92,310,2007,True,4.09,-0.04,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0
31,Wicked Lovely,Melissa Marr,162251,7137,3.69,328,2007,True,1.94,-2.19,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",3
32,Chosen,P.C. Cast,227774,4437,3.91,307,2008,True,4.0,-0.13,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
33,The Graveyard Book,Neil Gaiman,460866,32761,4.13,307,2008,False,6.06,1.93,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens Middle Grade', 'Childrens', 'Fantasy Paranormal', 'Audiobook', 'Paranormal Ghosts', 'Fantasy Supernatural']",18
34,City of Fallen Angels,Cassandra Clare,511239,23763,4.11,425,2011,True,5.88,1.74,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",1
35,Untamed,P.C. Cast,221822,3669,3.94,338,2008,True,4.28,0.15,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0
36,Shatter Me,Tahereh Mafi,317338,30694,3.93,338,2011,True,4.19,0.06,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Fantasy Paranormal', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural', 'Audiobook']",1
37,The Alchemyst,Michael Scott,148669,8510,3.84,369,2008,True,3.34,-0.79,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Adventure', 'Fantasy Mythology', 'Childrens Middle Grade', 'Fantasy Urban Fantasy', 'Childrens', 'Young Adult Young Adult Fantasy']",3
38,Blue Bloods,Melissa de la Cruz,136615,4963,3.69,302,2007,True,1.94,-2.19,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Angels']",0
39,Clockwork Prince,Cassandra Clare,471206,24797,4.43,498,2011,True,8.88,4.74,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Fiction', 'Paranormal Angels', 'Paranormal Vampires']",2
40,Inkspell,Cornelia Funke,117418,4157,3.9,635,2005,True,3.91,-0.23,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'Young Adult Young Adult Fantasy', 'European Literature German Literature']",2
41,Dark Lover,J.R. Ward,302156,13410,4.17,393,2005,True,6.44,2.31,"['Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance Paranormal Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Fantasy Supernatural', 'Adult Fiction Erotica']",5
42,Beautiful Disaster,Jamie McGuire,571283,28797,4.08,319,2011,True,5.59,1.46,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Adult', 'Love']",1
43,Hunted,P.C. Cast,170393,3528,3.91,323,2009,True,4.0,-0.13,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",1
44,Poison Study,Maria V. Snyder,152984,12036,4.09,427,2007,True,5.69,1.56,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Fantasy Paranormal', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Adventure', 'New Adult']",3
45,Crescendo,Becca Fitzpatrick,288101,11404,4.02,432,2010,True,5.03,0.9,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
46,The Catcher in the Rye,J.D. Salinger,2857494,60330,3.81,277,2001,False,3.06,-1.07,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'Academic School', 'Novels', 'Young Adult Coming Of Age', 'Young Adult High School', 'Literature American', 'Academic Read For School']",2
47,Among the Hidden,Margaret Peterson Haddix,114399,6275,3.98,153,2006,True,4.66,0.52,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Fantasy', 'Adventure', 'Academic School', 'Young Adult Teen']",5
48,The Mysterious Benedict Society,Trenton Lee Stewart,128796,10837,4.17,497,2008,True,6.44,2.31,"['Mystery', 'Fiction', 'Young Adult', 'Childrens Middle Grade', 'Fantasy', 'Childrens', 'Adventure', 'Childrens Juvenile', 'Science Fiction', 'Audiobook']",3
