,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
49,The Awakening,Kelley Armstrong,111559,3320,4.13,360,2009,True,6.06,1.93,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Romance', 'Fantasy Magic', 'Shapeshifters Werewolves', 'Paranormal Ghosts', 'Fiction']",1
50,Fablehaven,Brandon Mull,141775,10161,4.09,351,2006,True,5.69,1.56,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Fantasy Magic', 'Childrens Juvenile', 'Young Adult Young Adult Fantasy', 'Science Fiction Fantasy']",2
51,City of Lost Souls,Cassandra Clare,451303,20878,4.25,546,2012,True,7.19,3.06,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels', 'Fiction', 'Fantasy Supernatural', 'Fantasy Magic']",1
52,Throne of Glass,Sarah J. Maas,671290,47796,4.19,406,2012,True,6.63,2.49,"['Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'New Adult', 'Adventure', 'Fantasy Paranormal', 'Fairies Fae', 'Mystery']",3
53,Uglies,Scott Westerfeld,581897,23952,3.85,425,2005,True,3.44,-0.69,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",11
54,Perfect Chemistry,Simone Elkeles,245961,10873,4.05,368,2008,True,5.31,1.18,"['Romance', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult High School', 'Fiction', 'New Adult', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Romance']",4
55,Brisingr,Christopher Paolini,318744,9255,4.05,748,2008,True,5.31,1.18,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",0
56,Daughter of Smoke & Bone,Laini Taylor,331253,30039,3.99,418,2011,True,4.75,0.62,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural']",16
57,Magyk,Angie Sage,115527,5213,3.82,564,2005,True,3.16,-0.98,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Adventure', 'Young Adult Young Adult Fantasy', 'Audiobook', 'Fantasy High Fantasy']",1
58,Glass Houses,Rachel Caine,97440,4893,3.9,239,2006,True,3.91,-0.23,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Ghosts']",0
59,The Luxe,Anna Godbersen,71147,4622,3.63,433,2007,True,1.38,-2.76,"['Historical Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Womens Fiction Chick Lit', 'Romance Historical Romance', 'Young Adult Teen', 'Drama', 'Mystery']",1
60,Obsidian,Jennifer L. Armentrout,243427,18477,4.16,335,2012,True,6.34,2.21,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",0
61,Tempted,P.C. Cast,156837,3429,3.94,319,2009,True,4.28,0.15,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1
62,Torment,Lauren Kate,217530,8033,3.86,452,2010,True,3.53,-0.6,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Teen']",0
63,Moon Called,Patricia Briggs,186972,8681,4.13,289,2006,True,6.06,1.93,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance', 'Shapeshifters Werewolves', 'Romance Paranormal Romance', 'Fiction', 'Paranormal Shapeshifters', 'Fantasy Supernatural']",0
64,Specials,Scott Westerfeld,174446,8008,3.76,384,2006,True,2.59,-1.54,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Futuristic']",0
65,Cross My Heart and Hope to Spy,Ally Carter,85255,3467,4.12,236,2007,True,5.97,1.84,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Adventure', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Action']",0
66,The Goose Girl,Shannon Hale,140065,10152,4.1,383,2005,True,5.78,1.65,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Retellings', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Young Adult Young Adult Fantasy']",4
67,The Historian,Elizabeth Kostova,250739,16493,3.78,704,2005,False,2.78,-1.35,"['Fiction', 'Historical Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Paranormal Vampires', 'Historical', 'Fantasy Paranormal', 'Gothic', 'Thriller']",5
68,Alanna: The First Adventure,Tamora Pierce,123020,5191,4.23,274,2005,True,7.0,2.87,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Childrens Middle Grade', 'Fantasy High Fantasy', 'Childrens', 'Young Adult Teen']",3
69,Fairest,Gail Carson Levine,62408,4171,3.88,326,2006,True,3.72,-0.41,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Childrens Middle Grade', 'Retellings', 'Fantasy Magic', 'Childrens', 'Fairy Tales Fairy Tale Retellings']",0
70,Unwind,Neal Shusterman,202191,19136,4.16,337,2007,True,6.34,2.21,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Young Adult Teen', 'Thriller', 'Adventure', 'Adventure Survival']",12
71,Bloodlines,Richelle Mead,175257,8404,4.19,421,2011,True,6.63,2.49,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction']",1
72,Heist Society,Ally Carter,90313,5301,3.9,287,2010,True,3.91,-0.23,"['Young Adult', 'Mystery', 'Contemporary', 'Romance', 'Fiction', 'Adventure', 'Young Adult Teen', 'Mystery Crime', 'Womens Fiction Chick Lit', 'Realistic Fiction']",3
73,Hex Hall,Rachel Hawkins,140285,8484,3.92,323,2010,True,4.09,-0.04,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Magic', 'Romance', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Paranormal Demons']",0
74,"Night World, No. 1",L.J. Smith,61878,2154,4.05,729,2008,True,5.31,1.18,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Witches', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Magic']",0
75,The Red Pyramid,Rick Riordan,339996,13539,4.08,516,2010,True,5.59,1.46,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Childrens Middle Grade', 'Adventure', 'Fiction', 'Childrens', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Science Fiction Fantasy']",5
76,Just Listen,Sarah Dessen,238556,8231,4.05,371,2006,False,5.31,1.18,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Music', 'Young Adult Young Adult Contemporary', 'Young Adult High School']",5
77,The Shadow of the Wind,Carlos Ruiz Zafón,495924,38232,4.27,487,2005,True,7.37,3.24,"['Fiction', 'Historical Historical Fiction', 'Mystery', 'Fantasy', 'Writing Books About Books', 'Historical', 'Cultural Spain', 'Magical Realism', 'European Literature Spanish Literature', 'Gothic']",11
78,Anna and the French Kiss,Stephanie Perkins,379677,30249,4.0,372,2010,True,4.84,0.71,"['Young Adult', 'Romance', 'Contemporary', 'Womens Fiction Chick Lit', 'Fiction', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Romance Contemporary Romance', 'Young Adult Young Adult Romance', 'Young Adult Teen']",9
79,Clockwork Princess,Cassandra Clare,366577,31956,4.55,567,2013,True,10.0,5.87,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Paranormal Angels', 'Fiction', 'Historical']",1
80,The Looking Glass Wars,Frank Beddor,42180,3860,3.93,364,2006,True,4.19,0.06,"['Fantasy', 'Young Adult', 'Fiction', 'Retellings', 'Adventure', 'Science Fiction Steampunk', 'Fantasy Magic', 'Fantasy Fairy Tales', 'Young Adult Young Adult Fantasy', 'Young Adult Teen']",1
81,The Subtle Knife,Philip Pullman,387666,10700,4.13,370,2018,True,6.06,1.93,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Science Fiction Steampunk', 'Childrens Middle Grade']",2
82,Silence,Becca Fitzpatrick,253228,8256,4.11,448,2011,True,5.88,1.74,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
83,Evernight,Claudia Gray,78990,3319,3.64,327,2008,True,1.47,-2.66,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Teen']",0
84,Blue Moon,Alyson Noel,91571,3764,3.6,284,2009,True,1.09,-3.04,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Teen']",1
85,Masquerade,Melissa de la Cruz,89803,2146,3.9,307,2007,True,3.91,-0.23,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Romance Paranormal Romance']",0
86,Vampire Kisses,Ellen Schreiber,49681,2317,3.72,253,2005,True,2.22,-1.91,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Young Adult Teen', 'Fantasy Urban Fantasy']",0
87,Don't Judge a Girl by Her Cover,Ally Carter,65809,2688,4.21,263,2009,True,6.81,2.68,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Adventure', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Action']",1
88,The Sweet Far Thing,Libba Bray,68476,3876,3.95,819,2007,True,4.38,0.24,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Fantasy Paranormal', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Young Adult Teen']",0
89,Linger,Maggie Stiefvater,159664,9645,3.89,362,2010,True,3.81,-0.32,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
90,Rebel Angels,Libba Bray,111181,3404,3.92,548,2006,True,4.09,-0.04,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Fantasy Paranormal', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",0
92,Acheron,Sherrilyn Kenyon,56166,3676,4.55,728,2008,True,10.0,5.87,"['Romance Paranormal Romance', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Fantasy Mythology', 'Adult', 'Fiction', 'Paranormal Demons']",0
93,Revelations,Melissa de la Cruz,76212,1651,3.9,264,2008,True,3.91,-0.23,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fiction']",0
94,Shadowland,Jenny Carroll,66946,2510,4.02,287,2005,True,5.03,0.9,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Ghosts', 'Fiction', 'Fantasy Supernatural', 'Mystery', 'Womens Fiction Chick Lit', 'Young Adult Teen']",0
95,Coilhunter,Dean F. Wilson,914,129,4.14,210,2017,True,6.16,2.02,"['Science Fiction', 'Science Fiction Steampunk', 'Westerns', 'Fantasy', 'Science Fiction Dystopia', 'Westerns Weird West', 'Fiction', 'Action', 'Audiobook', 'Business Amazon']",0
96,Wake,Lisa McMann,80039,5481,3.75,210,2008,True,2.5,-1.63,"['Young Adult', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy', 'Mystery', 'Young Adult Teen', 'Fantasy Urban Fantasy', 'Fantasy Paranormal', 'Romance Paranormal Romance']",3
97,The Son of Neptune,Rick Riordan,442699,16540,4.42,513,2011,True,8.78,4.65,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",2
98,The Van Alen Legacy,Melissa de la Cruz,64378,1538,3.95,369,2009,True,4.38,0.24,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Romance Paranormal Romance']",1
99,Terrier,Tamora Pierce,69341,1998,4.1,581,2006,True,5.78,1.65,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Adventure', 'Mystery', 'Fantasy High Fantasy', 'Young Adult Teen', 'Childrens']",3
